,Video File Name,Video Number,Video Duration,Transcript Text
17,Video18.mp4,18,8.77,"In the cast of the Good Doctor, I've learned much more about the history of autism than I ever knew about before. How perceptions and diagnoses have changed over time."
18,Video19.mp4,19,11.93,"Autistic people could never be happier, have fulfilling lives. And also that there was a missing piece of them. And that missing piece they symbolize as the cure for autism, that you are not whole if you're autistic."
19,Video20.mp4,20,16.8,
20,Video21.mp4,21,9.4,"Week. Andy Reid said, sure, we'll see how it goes. But that means absolutely nothing to me if Andy Reid says that. But the writing was on the wall to me when Xavier Words."
21,Video22.mp4,22,11.97,"Order of the president a few weeks ago. It's important that we preserve that. It's important that we preserve that while we focus on two things. The strategic sectors, steel, aluminum, autos."
22,Video23.mp4,23,8.93,"You know, I still hear myself barking sometimes."
23,Video24.mp4,24,10.47,"Impairs the basic social skills one is expected to display. It's made life difficult in many ways, and growing up."
24,Video25.mp4,25,9.43,"Today I'm going to talk about something that's super important. As we age our balance, I got a really simple exercise that can help you stay steady on your feet, you know, straight."
25,Video26.mp4,26,6.57,"Abductive blame game between right and left, turbocharged by inflammatory calls for vengeance on the fringes of one."
26,Video27.mp4,27,10.2,Conservatives wouldn't start a campaign to cancel Jimmy Kimmel's show. They certainly wouldn't call the federal government to do anything. That was the state of play.
27,Video28.mp4,28,10.77,Process audible sounds. We have social communication. That's how we communicate and how we understand how other people communicate. It involves things like understanding body.
28,Video29.mp4,29,6.67,"Is Melina, formerly fat, currently fed up and today we are checking out a fan favorite. What I."
29,Video30.mp4,30,10.7,"All the rest of it. To be honest, it is such a massive question that I think is deserving of its own video in its own right. So why did I become an autistic YouTuber? Well,"
30,Video31.mp4,31,4.97,"Everything sounded like it could be adhd. My first response was, I don't have ADHD because I."
31,Video32.mp4,32,7.83,Lack of knowledge on autism doesn't stop there either. Did you know some people are trying to find a cure for autism? That's.
32,Video33.mp4,33,11.57,"Me do what I want to do and enjoy my life. So it's from that point that I started hiding it and doing things to try and overcome it, even if it was out of my comfort zone."
33,Video34.mp4,34,12.03,"Right now. Let me tell you something. If you're thinking about how to get content seen across a lot of different platforms, we here at Sidebar, we produce so many video clips a day, and we use a platform called Opus Clip. This is an all in one AI editor."
34,Video35.mp4,35,6.9,Conveying and speaking about what was my reality and what is my reality today.
35,Video36.mp4,36,10.0,"They were like, oh, okay, so junior executive assistant Dev Prada. I'm just like, Emily Blunt. And they were like, no. And it wasn't her. It was me, so."
36,Video37.mp4,37,9.47,First guest is one of the most famous actors in the world. He's nominated for a Golden Globe for his brilliant performance in the Wolf of Wall street. Please welcome Leonardo DiCaprio.
37,Video38.mp4,38,8.47,"Spoken about J.K. rowling in a positive light, which is what happens when you, even for a moment, support somebody who goes against the dogma of the left. Ey?"
38,Video39.mp4,39,9.57,"Professors there. Their number one focus is not teaching. They're incredibly smart, but what they really care about is their own research. As you guys know, smarts does not equate to skill when it comes to teaching. It also does not."
39,Video40.mp4,40,13.57,"Across the United States. That's the topic of today's video. My name is Craig Meister. I'm a college admissions coach and expert. You can go to my website, collegemeister.com to learn more about me and how you can work with me one on one."
40,Video41.mp4,41,5.63,"A long ruler, and everyone on the planet is a part of that ruler."
41,Video42.mp4,42,9.4,"It feels as if neotypical people were born with a manual about how to socialise, and I've only just become."
42,Video43.mp4,43,8.8,They speak normally. It's hard to listen and keep up due to like accents or low voice fast.
43,Video44.mp4,44,15.3,"Very warm, very swollen, then you can go to asymmetries. So if one shoulder is hiked up and the other is low and you're having a lot of pain here, obviously that's an asymmetrical appearance in your anatomy. The R stands for restricted range of motion. So, for instance."
44,Video45.mp4,45,5.7,"But we know that in this particular expression of the disease,"
45,Video46.mp4,46,10.67,"With the whole patient philosophy in mind. Those first two differences were just differences in medical school training. Now let's move on to residency, which is arguably the most important part of medical."
46,Video47.mp4,47,13.27,"In fact, every human interaction I had with people outside of the program was underscored by ulterior motives. People only befriended me in hopes that I'd slip a good word in to program coordinators to better their chances of getting into medical school when it was not for self interest."
47,Video48.mp4,48,12.83,"Stuff out in public in this kind of way, they're going to be haters. And there's a whole psychology there. So as you get older, you'll get fewer about that. And then also certain personality types are just more hardwired in that way. And if someone is a."
48,Video49.mp4,49,10.4,"Going to watch the rest of the video. She's not interested in learning how we did it, but if you're here, I hope that you are interested in learning how. How we did it. And then I've got."
49,Video50.mp4,50,7.07,To Waterloo Station with all three big crowds. It makes me stressed and angry that all the big crowds.
50,Video51.mp4,51,6.5,It can give us a unique perspective on the world and be able to look at information differently and see situations.
51,Video52.mp4,52,10.87,"Well educated people in careers that society respects and needs get abused and overworked by their bosses and co workers, ruining their health, bringing their troubles in baggage."
52,Video53.mp4,53,13.87,"I know that there is a lot that is going on, but for one moment, let's forget about Donald Trump, Jimmy Kimmel, the UN Charlie Kirk, Gaza government shutdown, the other crises."
53,Video54.mp4,54,19.87,"Know what happened after the night that I met the man that intentionally infected me with HIV? I met the man that infected me with HIV. March 12, 2019 about three weeks after I began to get sick. I had horrible cold sweats. I had rashes all over my body. I would wake."
54,Video55.mp4,55,15.9,"And he's, like, sick of it, okay? No more, you know, eating cheesecake six nights a week and putting on weight. And you can only run a 2 mile in 17 minutes and 58 seconds. He wants you to get in shape, and some people don't like that. Some people want their military veter."
55,Video56.mp4,56,11.47,"Show. It's not a freaking summer camp. We are in the business of war, and war is having trained killers to go and fight and fight the enemy, okay? We have to be war ready at every."
56,Video57.mp4,57,14.9,"Study. But anytime I would go into my physiology class, I will always see Tank. And Tank never said anything to me. And I never say anything to her. But I always kind of felt tension between us. I felt like she didn't like me. But the day that my former friend."
57,Video58.mp4,58,12.83,Long time no upload. I can explain why so brief introduction if you are new here. My name is Samantha and I'm on a journey to document what it's really like to try and change.
58,Video59.mp4,59,12.77,"I'm not going to be performative with you and fake be nice to you if you don't even like me. No, I don't like you either. Moving forward past middle school, I didn't really talk to either party. I didn't talk to Lena, I didn't talk to Taja, our home."
59,Video60.mp4,60,15.0,"I meet this guy on Hinge, okay? He's gorgeous. Like, he looks just like Leo from Tell Me Lies. Okay? Gorgeous. So he drives two hours to take me on our first date, and we had been talking for a couple weeks."
60,Video61.mp4,61,11.87,"Yeah, it turns out I wouldn't do that because of my anxiety. But when no one could see me if I was on a Zoom meeting and cameras were off, I did not sit down once during."
61,Video62.mp4,62,1.8,"Yeah, and."
62,Video63.mp4,63,8.9,Singer set to hit the stage with a major pop star this fall. I spoke with artist Amber Mark this week about her upcoming album and unique sound.
63,Video64.mp4,64,16.13,"Wild hippie lover. And so we lived in Asia for a long time as a kid. You know, India, Nepal, Thailand. And then she was German, so we lived in Germany for a long time as well. And then throughout all of that, my base was always New York."
64,Video65.mp4,65,14.83,"Very peaceful. I think it's overwhelming to be shooting a series and promoting an album on the weekends and days off. So it can be overwhelming physically, But I think what I've gained."
65,Video66.mp4,66,12.33,"50 guys slash the online dad. Just getting off work and I wanted to do this one for you guys today. This is going to be a more direct video for you guys because it needs to be said to you now, listen."
66,Video67.mp4,67,11.13,"Or a very specific type of person, and I'm going to sound extremely inconsiderate to most people, but that's the only way that I can get the severity of this situation across. So with that said, consider."
67,Video68.mp4,68,9.33,People don't understand me. I feel very annoyed. Like tell you just listen and block. It's frustrating.
68,Video69.mp4,69,14.87,"Well, in school, I don't really touch AI when it comes to actually studying. Okay. And if I do, it's not like how most students do. And so my perspective on this is that if you're using AI to study how most students use AI to study, it's actually probably doing more harm than good."
69,Video70.mp4,70,11.97,"Materials, I'd be able to pass all of my exams. And to be fair, that approach kind of worked. But everything changed when I got into med school, because suddenly there was a lot more information that you have to know in a short amount of time, and it felt like drinking from a fire."
70,Video71.mp4,71,11.53,"That being too warm impairs your thinking more than being too cold. Now, I know I'm a little bit lucky because I live in Minnesota where It's cold basically 75% of the year. But make sure that your space is keeping you alert, not."
71,Video72.mp4,72,21.03,"Get up and walk and, like, I. I am that broken person. And, like, I can't. It's really hard when, like, the broken bone is not something you can see. I don't even know why I'm crying so much."
72,Video73.mp4,73,13.87,"Hi, my name is Marni Grundmann. I'm 57 years old. I live in Montreal, Canada. And I'm going to be sharing my story of surviving a narcissistic family system and living on the streets at the age of 13."
73,Video74.mp4,74,11.67,"I reminded him, no, I'm not God. He kept asking me, is it water? Is it water? And I thought, he needs to get rest. If he sleeps this off, he'll wake up and he'll be okay. So I started driving to my dad."
74,Video75.mp4,75,6.57,For you to watch when you need it. And this video will also be made into a podcast episode for the Lawnm.
75,Video76.mp4,76,11.5,"Reason why they can't manifest anything is because they constantly try to be high vibrational only positive vibes, you know, whatever. But the issue is that we're a soul, but."
76,Video77.mp4,77,19.43,"It's okay to be afraid. But I don't want you to give up. Because the thing about depression is it lies. You know, you gotta fight to be here. Because it does get better. And all these lies will eventually go away. You just have to hold on, because it doesn't get to win."
77,Video78.mp4,78,11.17,"These years of losing Isaiah. You know, I kept trying to make sense of things or trying to fix things or trying to just."
78,Video79.mp4,79,11.57,"One, they miss the social cues, so they don't realize when somebody's no longer interested in their stories. Number two, they're socially anxious and they can't stop themselves from talking because that's how they connect."
79,Video80.mp4,80,9.97,I was almost hit by a car the other day. I was coming in the backside of a grocery store and a guy ran or stop sign. He sees me and he slams.
80,Video81.mp4,81,10.3,At the earliest opportunity under the least onerous conditions. That is the liberal bail reform. And that is why.
81,Video82.mp4,82,14.7,"You for entertainment. It's disturbing. Who in their right mind thinks? Yeah, After a day of having these patients trust us, you know what we should do? Let's mock them. Not just privately, but let's post it, too. There was also this nurse who was arrested after posting a viral."
82,Video83.mp4,83,11.67,"To have a family, to have children. Maybe a guy wants to be a bachelor. Maybe a woman wants to be Oprah, call her Daddy, whatever. And I."
83,Video84.mp4,84,11.03,"Into perpetuity. And you know the exponential decline of this, too, where it's like it sounds. Oh, well, we went from 2.1 to 1.6. That can't be that bad. I mean, in a couple generations, that means that our population has shrunk by half."
84,Video85.mp4,85,10.8,"It's just real estate. But I mean, you see all these 55 plus communities being built. But I mean, you live in Florida. I can."
85,Video86.mp4,86,19.87,"And where it gets to be easily disoriented. And you can fail. Every SEAL knows that under the keel at that darkest moment of the mission is a time when you need to be calm, when you must be calm, when you must be composed, when all your tactical skills, your physical."
86,Video87.mp4,87,8.6,Has a seizure disorder and where he lands on the autism spectrum is pretty impacted. For his daily living skills.
87,Video88.mp4,88,12.1,"Little tiny things so incredibly infuriating. And most importantly, what can we do about it to make sure that we're looking after our own mental health and not damaging our relationships with the people around us?"
88,Video89.mp4,89,10.6,Jamie. This is where kids play. This is not a track for motorcycles. Kids are at school. They're not. I just picked mine up. And this is not a place where you ride goddamn motorcycles. It's a park. You don't.
89,Video90.mp4,90,20.27,"Back. He's the guy that's on the half turn is dangerous. I understand that. Drop one of Szoboslayan, McAllister, play a double pivot of one of them alongside Gravenberg and run back that same exact team. That was the best 45 minutes of football we saw all season that first half against Atletico Madrid."
90,Video91.mp4,91,24.13,"Out of my soul in my life. I would never. I would never play about this because I know people that died from it. I would never play no games about this or anything. I really felt like I had the chills and stuff like that. You know, that's one of the symptoms. It's one of the main symptoms is chills, coughing, fever and stuff like that. So I was like, man, I need to go get tested, because I definitely don't want to have it. My biggest fear of getting the corona is giving. Giving it to my mom."
91,Video92.mp4,92,30.13,"More pronounced. We're about to see a splitting of society, and I don't mean anything political. This splitting is going to be the people who live their life with completely unfiltered Internet access from the second they were born, and the people that were raised by parents that kept them, at least in some levels of moderation of technology and screen time. I'm talk."
92,Video93.mp4,93,15.63,"Are quitting their job because of the behavior of Gen Alpha students, and they are citing that exact reason for the decision of them leaving the profession. So many people want to disparage the individual teacher for making that decision, saying that it's their age or it's the era in which they began."
93,Video94.mp4,94,13.97,"In my family at both ends, some that are very close to retiring saying that they're just trying to eke out a couple more years with these horrible kids just so they could get their retirement and get out of it. And the people who just came in going, these kids are the worst. There's."
94,Video95.mp4,95,25.07,"I've been in the game for 10 years, and before that I was a teaching assistant. So I've been even longer than 10 years. One thing that I'm noticing this Generation Alpha, bloody hell, they are a piece of work. And I'm seeing some teachers in America saying this, but so I work in year two and I feel victimized by some of these six and seven."
95,Video96.mp4,96,14.63,"Sold. She reached forward, grabbed one of the buckets, and just began chugging this drink. And so Noemi's looking at her like, come on. Like, you can't just jump into this. We don't know what this stuff is. But, you know, after a couple of chugs, Audrey lowered the bucket and looked at her sister, and she just grinned, and she handed it."
96,Video97.mp4,97,30.83,"What is your name? First and foremost, my name is Peter Fogarty. Fogarty. Yes. And where are you from? I'm from Smithfield, Rhode Island. And who is your daughter graduating today? Megan Rose Fogarty. Great. And what major was she? She is Economics. Economics. Great. And what are you feeling right now as a parent? Are you happy, excited? What's going through your mind and your stomach right now? I'm static. This is the third of my three daughters who's graduating from college. So I get my raise, not having to pay for."
97,Video98.mp4,98,15.37,"The longest time, but I have a juicy story that I've been keeping it because I promised someone I wouldn't share it. But, you know, fuck them. I'm gonna share it anyways. This is gonna be one of the most craziest things that I've ever went to. Okay. You truly figure out who your friends are."
98,Video99.mp4,99,15.93,"Skin is very sensitive. But whenever I want to, like, take pictures or film something, it's like I. I just naturally put makeup on, like, just concealer or whatever, because I feel like I have to look a certain way to."
99,Video100.mp4,100,10.73,"Especially when showing certain work environments, requires a level of discretion and caution that a lot of people aren't exercising until it's too late. The most recent and viral case where this happened."
100,Video101.mp4,101,18.7,"Goes a lot deeper than just content creation. Like, a lot of people feel the need to post at every single moment. And people are starting to realize that posting luxury is not the real luxury anymore. The real luxury is the privacy. Oversharing has gotten so cheapened that privacy."
101,Video102.mp4,102,15.2,"Can pinpoint where you're currently at, where you're going, where you've been. They can't pinpoint your lows or your highs. They can't pinpoint where you are financially, physically, spiritually, mentally. When people don't know the bag that you just got, the event."
102,Video103.mp4,103,19.83,"Is privacy. And this is why privacy is a big ass flex. When folks can't pinpoint when you, you get in a bag, when folks can't pinpoint that you don't lost all this weight, when folks can't pinpoint that you got this new opportunity coming in your life like that like really rots a lot of like straight up."
103,Video104.mp4,104,17.03,"Every single comment has been so, so sweet. Congratulating me, people saying that Mazda is their dream car. There were a few comments and some that I deleted because I were like, really? A Mazda is your dream car a Mazda? And I'm like, yeah, a Mazda. I'm very mindful."
104,Video105.mp4,105,19.47,"Over a million followers in two weeks on TikTok. Hundreds of millions of views. It is windy and rainy outside. I'm gonna have to close my door. Hold on. Now, the reason I'm telling you that we got so many views and so many followers on TikTok is simple. Because if I ever get millions of views on any other platform, Facebook, Twitter, you."
105,Video106.mp4,106,33.07,"In the states, and probably 97 or 98% of my paying clients are in the States. I make money on this app through gifts, on live affiliate links, collaborations, and from people buying paid Pilates classes. I've never had access to the Creator Fund or TikTok Shop, but this is still going to affect me hugely. As a Canadian creator, I currently have 141,000 followers on Instagram and just over 10,000 subscribers on YouTube."
106,Video107.mp4,107,16.1,"Than anything. Oh, I'm starting to give up hope that there's going to be a Hail Mary moment at the end of this that's going to save this app. So dumb. Coaching on the Internet is crying about an app community for me for years now, and it got me through a really, really hard time."
107,Video108.mp4,108,23.27,"Happy. You know, we're taught. We're not even taught our nervous system is designed to survive. You have to think about it. The brain that you and I have is about 2 million years old, roughly, and it hasn't altered a huge amount in that time. And the number one focus is survival. So our brains are always looking for what could go wrong, what could be messed up, what could cost us, what could we lose? And it used."
108,Video109.mp4,109,15.8,"Trad dad needs to make a comeback. Not all the way back to the 1950s psychopath who never said he loved you and hit you with a belt. No, but just back to the dad who believes that because I said so is a perfectly legitimate answer to any question a child may have."
109,Video110.mp4,110,17.13,"Little body has identified you as not safe. And I got mad, and I was like, sure. I don't swear at my kids. I don't yell at my kids. My wife stopped me and she goes, no, no, no, no. You're the best dad I know. You're the best husband I know. Here's the quote. You have a nuclear reactor in your chest, and we can all feel it."
110,Video111.mp4,111,15.93,"Value that it's all a mystery and it's an illusion and that everything is random and there are no guarantees. And also, I don't know what to take. There's no message in it. I'm not meant to mess. It's also, I know people are getting."
111,Video112.mp4,112,13.77,"Different parts of songs or why I wrote things a certain way before I would play each song. So I kind of give them an inside scoop into what went into writing this, this particular song, then I'd play it. So it's a combination of that and it's a."
112,Video113.mp4,113,13.63,"Was guilty of it. No one told me to do this. No one tells anyone to do this. I think a lot of us naturally do it. Just because you're trying to enunciate your words more, it's cringey. A lot of us do it. No, no one told us to do it, though. Number two, that we have a hair and makeup."
113,Video114.mp4,114,18.2,"Research shows that they can help people lose up to a fifth of their body weight. This new generation drug drugs are called the GLP1 inhibitors. They work by suppressing your appetite, mimicking a hormone that makes you feel full. And in the US More."
114,Video115.mp4,115,19.33,"Muslim country. I'm sorry, bro. And we don't want to change it into a Muslim country. A lot of these guys get offended when I say shit like this because it's, like, stuff for the law. They've never heard this shit before. So, like, oh, my God, this is the truth, bro. This is not a Muslim country, bro. And this is the uncomfortable truth that a lot of these don't want to hear, because a lot of these."
115,Video116.mp4,116,20.13,"Back in their faces. It's just been one of those days. Ever since they woke up this morning, everything has been a fight. Everything has been a struggle. They've been fighting with each other. They've been screaming at me. My 4 year old told me she hated me because I couldn't untar her page that she asked me to tear had asked me to. Guess what the hardest part of having kids was before I actually had kids."
116,Video117.mp4,117,29.73,"She didn't thank me in person, face to face. And not. Not one single person in this entire place that I'm talking about said thank you to me in person. And there was already. There was kind of some other drama going on at this place, and that was kind of the last straw, and I stopped going to this place."
117,Video118.mp4,118,11.2,I talk to so many of you guys that reach out to me. Venting. You tell me stories about girls we're talking to ghosting and the things they say and the things they've done.
118,Video119.mp4,119,16.57,"It's a spectrum, so it affects people differently. It's not the same experience for everyone. So since I was very young, it's always been a challenge to."
119,Video120.mp4,120,25.47,"And was in deep depression, would not be able to clean, wash, do anything for myself. I was angry because I couldn't express myself. I was seen as a naughty, destructive child because I had mental health problems and I was not able to explain why I felt the way I felt. I struggled to sit in different places in my own home because I had this."
120,Video121.mp4,121,32.53,"I am furious. Like, I feel this vitriol against the world and so many people. There's just so much anger built up in me because I feel that I lived such a shitty life when I had so much more potential to do so much more than so many others. And you get angry, you get really fucking angry, and then everything makes you angry. I feel a sense that I am tired of everything, the way everything works. Sometimes, constantly. I'm just so sick."
121,Video122.mp4,122,38.97,"Well, it appears that you were in an accident about a year ago. And I said, yeah, I was. I was in a fender bender. My one accident that I've had in the past five years. I drive because I'm forced to by society. I drive for about 75% of my day, every day. And one time, one fucking time, an old lady caught in front of me going 20 miles per hour."
122,Video123.mp4,123,24.2,"Anytime I've ever tried, I started to legitimately lose my mind. Like, I've worked so many different types of jobs. I've worked at U Haul before. I've worked at a call center. I've worked from home. I've done sales. I've done customer service. I've done real estate, I've done food service jobs."
123,Video124.mp4,124,23.97,"Years when I had a job I have never had. I have never actually. I don't have any friends. I never kept any friends from my work. And that told me everything. All the people that I know in my life are outside of my work. You know, I just. I just couldn't. I couldn't relate. I couldn't connect with those people. And still, up until now, I can't do it."
124,Video125.mp4,125,30.27,Life. And I still don't know what I want to be when I grow up. And I want to talk about it because I miss old school YouTube where people were raw and vulnerable and really talked about their everyday problems and made everybody feel less alone and more human. So I want to contribute to that. So this is my way of contributing to all of you and the Internet that there's real life stuff going on besides any of the fakeness that's on the Internet that.
125,Video126.mp4,126,14.77,Where I talked about how to notice defensiveness in other people. I wanted to remind you guys that the definition of defensiveness in a psychological sense is when you get defensive over something and there wasn't actually an attack. The reason I want to clarify this is I was recently watching.
126,Video127.mp4,127,21.87,"It doesn't even come close to touching the amount of rage I find myself trapped in. And let me tell you, justice is just the word for comfort. It doesn't bring her back. This white stone represents my loss and faith in our school systems to keep violent children away from the innocent. We are forever, Tristan Bailey strong."
127,Video128.mp4,128,12.57,"Stay in prison for the rest of your life and never be able to harm anyone else in this world again. Your Honor, I plead with you. Plead?"
128,Video129.mp4,129,19.43,"Innocent teenager in a foreign country hearing a knock on the door, and it's you. I don't want you to be there, but I don't have a choice. Treatments with you were mandatory. You took advantage of that. You even told on us if we didn't want to be treated."
129,Video130.mp4,130,18.03,"Absolutely no remorse. You haven't even shed a tear. You thrive on the illusion of power and attention. You're a pathological liar. Sociopath, psychopath, murderer. You thought you were."
130,Video131.mp4,131,24.47,"This is too hard to explain off the cuff, so I wrote it out. This summer has been exceedingly difficult. Dad was in an ICU suffering from pneumonia and sepsis after dealing with a host of neurological issues this summer that we believe stem from sirs, which is Chronic Inflammatory Response Syndrome due to decades of mold exposure."
131,Video132.mp4,132,15.23,"Must we be made to feel like quotas? Like tokens and coin phrases? Diversity. Inclusion. There are days I feel like one like only a lonely blossom in a briar patch of broken promises but hey, I've always been a thorn in the side of."
132,Video133.mp4,133,23.83,"Devoted himself to this country. Again and again, we've seen him make tough choices when easier ones were available. His values and his record affirm what is best in us. John Kerry believes in an America where hard work is rewarded. So instead of offering tax breaks to companies shipping jobs overseas, he offers them to companies creating jobs here at home."
133,Video134.mp4,134,20.3,"And you have to find something that you love. And you have to follow your own instincts. Listen to your parents. They're very wise. But you have to follow your instincts and your heart, your soul. And you want to be the very, very best you can be. Treat every day like a home game against Auburn. Fight like hell and enjoy doing it."
134,Video135.mp4,135,19.83,"Six feet wide. When at last she was done, I couldn't wait to see it. And when I did, I couldn't believe it. My mom had painted me standing in an art gallery with red, white and black sculptures in the background, as if I, too, were a work of art, a statue frozen in time."
135,Video136.mp4,136,15.47,"This is called paying it forward. You can also be kind to yourself. Splurge on a fun trip, a dinner out, or a new item of clothing. Pamper yourself. This is called paying it backward."
136,Video137.mp4,137,34.03,"Deep. There you go. Good, good. Nice and deep. Is. Is. Why is my imaginary friend Link with you? Why is your imaginary friend with me? Yeah, Link. Because he wants to help you. Why? Because Link likes you. I know he likes what he did. Okay. You want to hold my hand?"
137,Video138.mp4,138,20.57,Us because the teacher teaches in a way that makes it fun and easy to understand. He gives us vocal tracks so that we can understand and sing our own parts so that we can know what to sing when we are in the performance.
138,Video139.mp4,139,20.7,"I don't really know. It depends. I don't have any subjects to hate, but if you're talking, like the most neutral one, I would have to say, dang, I don't know, maybe math. I'm not. I don't mind math. I don't really mind any subject. Really? Well, that's us."
139,Video140.mp4,140,18.8,"A problem that was so complicated and impossible. Awesome. It equaled 11,126. Nice. Like plusing 100,000 just to make that big number. You like number."
140,Video141.mp4,141,29.47,"How desperately, like, sad I was, you know, at the time. And I still go through it, too. I still go through. We continue to go through it, but I was getting this motivation. I was riding on this momentum of motivation, just really wanting not to give up, you know, and it was just in my nature, me not to give up. So I. So then I. I had a heart attack. I had a heart attack just at the end of the divorce."
141,Video142.mp4,142,30.87,"This is my first ever time posting on YouTube. So hi. I'm kind of spontaneously making this video because I've had a lot of things weighing on my mind lately, and I just need to talk about it and get it off my chest and just. I don't know, I'm interested to see if anyone out there has had similar experiences to."
142,Video143.mp4,143,22.43,"Twenties. Did you hook up like a. Like a dog in heat back in the day? And the answer is no. I've never been promiscuous. And I believe that the red pillars out there, the toxic masculinity, you know, flag wavers among us, have this idea that if you're single in your 30s, somehow you wasted your 20s."
143,Video144.mp4,144,8.57,"I usually call this, like, a light autism. My little brother has, like, heavy autism, so that's what I like to call it, okay."
144,Video145.mp4,145,19.87,"Like I'm like away from home for like, like vacation or something. Like, I feel like I over romanticize it in a way that a lot of people don't really like. Anyone would be sad to come home from vacation, but I feel like for me it's just like."
145,Video146.mp4,146,33.43,"A problem that we had for a long time, and it used to not be so much of a problem, but the screen has become the enemy. The screen has stepped in the middle of things, and this is why it gets a little tricky. But if you haven't noticed, everybody wants to be seen, and everybody wants to be heard. It's human nature. It's how we are. It's what we are. Some people gonna say, oh, well, I don't want to be seen. I want to be left alone. Or, I don't want to be heard. I don't want anybody to hear me. I hate my voice. Why did you just speak why did you just voice your opinion? Because you want to be understood or you felt that it was needed for you to."
146,Video147.mp4,147,16.2,"Perks to not using social media. Number one, more boredom. Now, this might be surprising at first, but follow with me here. One of the things that happens when you have these highly addicted."
147,Video148.mp4,148,23.1,"You're like 32 years old, all through your 20s, trying to grind. I mean, I've done it all. I mean, I've done so many businesses, federal government contracting. I started with my buddy, I started selling leads to plastic surgery clinics. I started a solar company. I started a sales org with them."
148,Video149.mp4,149,24.87,"And really don't know if he want one. Probably don't have a job, don't even know himself yet. Because at 18 years old, you don't know yourself as a man. Hell, at 25 years old, you really don't know yourself as a man. You trying to figure out. Figure it out. So you sitting up here and having babies with these guys and they don't even know themselves. Now, I'm not saying that's."
149,Video150.mp4,150,16.07,"About. I mean, almost daily, really. Like, I think, well, how old would my baby be? And was it a boy or was it a girl? And I kind of felt like it was a girl. I don't know why. It's just heartbreaking. It is. And, you know, the fact that I could go through."
150,Video151.mp4,151,8.53,"I don't know if I've ever felt that empty in my life. So I don't know, even if at that time,"
151,Video152.mp4,152,19.6,"It was titled why Am I so Afraid? And I remember thinking I was nervous for it because I feel like fear has been something that I've struggled with my whole life and it only amplified after my miscarriage. I was so fearful that if I truly sat in my sadness or truly accepted how I was feeling,"
152,Video153.mp4,153,25.63,"This kind of campaign may have helped some stay away from street drugs, but it could have had so much greater impact. Here is the problem with one side of our mouths we say, just say no to drugs, and the other side of the very same mouth we say, you don't have to hurt. Take a prescription medication. But prescription medication is different. But kids can't process that. Some kids."
153,Video154.mp4,154,19.53,"If I don't fulfill those roles, the family of origin. My system doesn't work the same way. And they don't know what to do. And they don't have the language to be able to articulate that. So when I own that, I'm the one that's changing."
154,Video155.mp4,155,17.13,"Pre litigation teams as well. So they gave me more opportunities helping with other teams. And then I got moved to the case clerk team, and that's the team that I was on until."
155,Video156.mp4,156,29.63,"Think about content creation. So we have obviously like custom gbts built out that are in our brand voice and you know, that we've uploaded, you know, all of our brand standards and our opinions and our positioning. And then we've built out, you know, tools that scrape our competitors website and make sure that we are identifying SEO opportunities and keyword off of that. And where there's."
